overall,reviewText,summary
5,"Solid, Comfortable, and it smells of quality leather. I plan on using Sno-Seal with it as well.

I was between these and the suede version in some shade of brown, but I'm so happy I went with these. The color is great, and it's LEATHER. I feel they will hold up against any conditions I find myself in much better than suede. Although, the suede is more comfortable because of it's floppiness and softness, it only took me a day to adjust to the slightly tougher Beeswax Leather.

Also, if you're on the fence about these or the Bushacres... Nothing comes close to the comfortability of the Natural Crepe sole on the Clarks Original Desert Boot.",Happy I chose the Beeswax. Great Shoe.
5,Perfect,Five Stars
5,Love the price and prime 2day shipping it's great and exactly as pictured,great!
5,"My father in law loves the Carhartt brand. We got him a bunch of Carhartt items for christmas and he enjoys all of them. They are great, thick material. The fit is perfect and he says they are very soft and comfortable. Its long enough that when working it stays tucked in and he can move around comfortably. The material is awesome. He does a lot of outdoor work and mechanist type work. The shirt is durable and stands up to a working mans abuse. It cleans nicely and does not stain easily. They also do not tear easily. If you want a super comfy and durable shirt this is the one for you!",Great durable shirt
5,"This is my 3rd pair . I really enjoy these boots. They are easy on your feet if you have to stand for long periods of time. i also wear them while I am out in the woods. They are waterproof , and you feet stay dry. When this pair wears out I will be looking for my fourth pair.",Great Boots
5,"I received this pair of shoes at the exact same day on the order by ONTRAC.  I love the shoes, they are made with real leather, has elegant designs and very comfortable to walk with, especially with the thorlo men's socks I ordered on Amazon, they are perfectly matched.",Rockport Men's Black Classic Walking Shoes in 9.5 M
5,My husband and son in law were very happy with this purchase.  Boots are comfortable and exactly what was needed for work,Would buy again
5,"This is the second pair of this shoe I've owned.  The soles on my old pair are finally worn out after 3 years and they are finally starting to leak a little as of this summer.  I've been having problems getting a good fit with any of the newer models Keen is putting out (I tried 4 different ones at Cabela's this spring), but these ones fit just like they used to.  Now I should be set for another 3 years.",Original (great!) fit.
5,"This boot can take a beating. As with many others in the Asolo line, the break-in period for this boot is little to no time at all. I have owned many pairs of Fugitives, and I have never had foot issues with them. Out of the box one time, I walked over 40 miles in a 24hr period. Waterproofing is great, sole is wonderful, durability is above the mark, and they are simple. Not peppered with plastic parts, there is a reason I have gone through 6 pairs in a little over a decade and keep buying more",Use these right out of the box
5,awesome!!,Five Stars
5,I'm a 5 1/2 - 6. I bought a size 6 and they fit perfect without socks. Hoping they stretch out a little as I wear them. They are super warm and cozy! Very comfortable. More comfy then Uggs,I bought a size 6 and they fit perfect without socks
5,Bought for my husband for xmas.  He loves it and wears it everywhere.  Just like the original.,Just like the original
5,"Amazing boots! Fit well, look great. I have purchased 3 pair in the last few months.  Order 1 full size smaller than normal shoe size.",Great boots!
5,"My husband needed durable, comfortable and pants with hammer loop/ utility pockets to replace his falling apart jeans. These fit the bill in every way..",Perfect work pants
5,I have wanted a Lauren Wallet forever...found this great price and snatched it up.  It is beautiful!,found this great price and snatched it up
5,"I made a mistake. I have owned my original Seiko diving watch since 1983, using it on hundreds of deepwater dives over the years, actually using the bezel to time my decompression stops, without any problems. I stopped diving over ten years ago due to health issues, but went on a snorkeling trip to Key West recently using my watch. Little did I know that the gaskets and O ring had dried out and thus my watch started to fog up. I took it to a jeweler when I got home. He told me that when he opened the case, the mechanism just fell out and could not be fixed. I even called Seiko but they said the same thing. When I came across this watch on Amazon and the price it was being sold for, I could not pass it up. I think I only paid $130 for the same watch in 1983! Glad I made the investment - maybe this one will last a little longer!",watch only lasts 28 years
5,Excellent,Five Stars
5,"I love this desert boot.  Had a pair like them when I was a young teenager.  Loved em then and love em now.  All the many color selection makes it even better.  With Clark, you can always expect comfort and quality.",Clark desert boot
5,Love. Love. Love it! No regrets. I have 3 Turtle Furs . I would recommend these to any age group,Perfect!!!
5,"These are VERY comfortable with padded insole.  Like wearing slippers but look cool!  I have them in red, black and white so I can wear with everything!!!",These are VERY comfortable with padded insole
5,"Actually fits my head, nice, printed on both sides.","nice, printed on both sides"
5,"Great sports bra for D/DD.  I normally wear 36DDD bra and this sports bra fits perfectly.  Although the straps don't adjust they are tight enough for me and I have a short torso.  Great support for moderate activities.  Very comfortable, I could wear all day under a t-shirt.",Love it!
5,Awsome quality washed up super well and fast shipping! Definitely will be ordering more from them.,Awsome quality! Fast shipping
5,Better fit than from my local specialty shop. With better selection.,Great purchase.
5,Works well and is a good size.  Same as I've seen retailers use.,Recommended
5,"These fit my boyfriend perfectly!  He has very wide feet and typically it's tough to find shoes for him, but these were great. Highly recommend.",but these were great. Highly recommend
5,I have purchased this shoe before and loved them.  I wore them every day when we went on Vacation to Disney World.  They are the only shoe that doesn't bother my feet walking all those miles each day at the Parks.  I would give them 5 stars.,Slip On shoes
5,"Very comfortable, Great for working while standing on concrete all day",Five Stars
5,have several of this shirt. comfortable,Five Stars
5,I have only tried this pair on for size but have worn them in the past.,Five Stars
5,"Best underwear I've ever had, very comfortable. Snugly and feels like you are wearing nothing throughout the day. It also breathes like no other underwear I've used before. We'll see how it holds up after a year of washing.

Beware counterfit items! out of five orders two came counterfit in just plain open plastic bags. No way to tell if new or used and the stichings gave it away as fake like others have reported. Nasty!",Worth it if you can get it
5,"I bought this bag last year after I broke my toe and had to be on crutches for three months.  It is very well made, as I have found with all the Kipling bags I have bought throughout the years.  There is enough room for my heavy wallet, my cell phone, keys, and a few small things.  The large compartment also has a zippered compartment for papers or other flat objects.  I removed the Velcro from the very small pocket in front, because it took up too much space.  A small snap would work better.  I only use the front pocket for my pen.  If you store the shoulder strap inside the bag, it takes up way too much space, so I just detach it and leave it at home.  This bag adjusts to my hips very well.  I like to wear it just below where the hip bone starts, where I measure 31 inches.  Since it adjusts to wider widths, there is a lot of strap hanging in the back.  I just wrap it back around and stuff it inside the pocket designed to hold the shoulder strap.  Yes, it was expensive.  I think it should be priced $10-$20 dollars less, but the quality is amazing.","Sometimes, you get what you pay for."
5,"I said they are ""somewhat small"", although it is just that they are a little snug over the instep, but I have a high one.  Once they are on, they are very comfortable.  Nice shoe.",Nice shoe.
5,i work security in NYC and it is great cause it keeps me really warm and i am very pleased with it,great for winter
5,"I have ordered various styles of scrubs but this top style is the most comfortable and practical for working in a clinic. Room to lift and bend and pockets where you need them most. Dickie's tend to wash and wear the best for me, really hold up to multiple washings and have had no problems with staining. Would recommend.",comfortable scrub top
5,"I wear these shoes all day at work (8 hours or so) and I'm constantly on my feet going all over the place. It seems weird to wear cute shoes like these to work, but hey, I want to look nice all the time!",It seems weird to wear cute shoes like these to work
5,nice sturdy belt,Five Stars
5,Good quality and fits really well. I would buy more of these.,Good quality and fits really well.
5,Will never play that price for a pair shoes again,Five Stars
5,"I really like the Riggs Workwear jeans I have. Interestingly, when I ordered a 2nd pair I received a similar style pair of jeans from Carhartt. I'm ok with both, but I'm also certain that the Carhartt's were also a returned item since there were no tags. I suppose I'll just make sure and wash first.",Received wrong product...but still ok
5,"I love that Cinch jeans wash and last well. Much better than LL Bean and some others. My husband loves the comfort. This style seems to be relaxed in the waist as well. Because of that, he can get a smaller size in the waist and they are not so big and baggy in the seat. With most jeans/pants he wears a 34, but a 32 with the Cinch White Label.",Comfort and Long Life
5,Honestly this shoe is a very good pair of shoe and still look as new I've had them quite a while now,Honestly this shoe is a very good pair of shoe and still look as new I've ...
5,Good material. Love the open seam in the panties part. Great for when you need to use the restroom!,Love them!
5,Great quality,Five Stars
5,"Needed 31"" length which wasn't available so ordered 32"" and it doesn't fit so well, but they are warm and being enjoyed anyway.",Size not available
5,"Great watch that last for years, old one still good but the small band holder broke so just got this new one. I recommend it's!",Long lasting watch!
5,They work.  What else can you say about it?,They work. What else can you say about it ...
5,I can't usually order bras online. This one fit perfectly.,Will order again.
5,I have a particular attachment to this outfit because my two kids enjoyed it so much that my wife and I had to beg them to wear something else!,"The quality is not the best, but my 2 sons love to wear it!"
5,"I have severe Sciatica (L4 laying on L5 and shifted forward). This is my 2nd pair in 4 months, use one for home, one to wear to and from work. Comfortable and less Pain and numbness in my right hip, shin & foot.  I recommend this product to people who need good support and a Light Weight shoe.  Recommend prior to buying, go to running shoe store, and check shoe out, have a the CSR look at bottom of current shoe and let them watch you walk to see how you walk.",Great Product
5,"My go to pair of boots, I've had several pairs of Clarks over the years. I've worn other brands but I always tend to come back to Clarks, particularly the desert boot. You can keep these looking prime with some extra care and conditioning.","My go to pair of boots, I've had several ..."
5,I have these sandals in many colors.  Had wore out my last black pair as worn for over a year  as my go to sandal.,Very Comfortable Sandal
5,Nice chain has held up well,Five Stars
5,Fantastic,Five Stars
5,"I am in love with these boots. They take some time to break in, but once that deal is over, they fit so well. The sole is very heavy, and I actually like hearing my boot hit the ground as I'm walking. They're very stylish with jeans or a dress (if you could pull that off). The leather is strong, and I've worn them in the rain once or twice (I try not to) with no soaking. I wish all boots were made with such high quality.",Amazing boots
5,"I discovered Reef Ginger flip flops years ago, and will not buy any other flip flop since. The arch support in these plus fabric uppers, makes them comfortable for all day walking in summer, and no irritation between toes. They do squish over time and lose their support, but they usually last a full summer season for me.
These are really the best!",The best flip flops ever - arch support matters!
5,Great product!,Five Stars
5,"I now have 5 pairs of these wonderful fast-drying shorts. So glad they're still available because I bought my first pair 3 years ago. They feel so soft, like cotton but have all the moisture wicking properties of supplex. I'm 5'3"" 120 lbs (28"" waist) and I ordered medium because I wanted smooth fit but not too snug, so the legs sometimes rise up a little after sitting. The length is perfect on me and the waist is perfect - no rolls! I wash them in cold water, regular cycle and throw them in the dryer on low. No shrinking or fading. Highly recommend!","The softest, fast drying bike shorts ever!"
5,"Couldn't live without them.  For the price they have saved my ""you know what"" this winter.  Easy to use and well worth the money!",Save yourself from an accident! Well worth it for icy places!
5,"Love Sebago Docksides.  Very comfortable, will last for years...",Awesome Boat Shoes
5,"These are not just shoes...These are FAMOUS shoes! Shia LaBeouf's character Sam Witwicky wears a pair of exactly these black Sambas in the 2009 film Transformers: Revenge of the Fallen. Ashton Kutcher wears these Adidas Sambas in the 2010 film Valentine's Day. So wear this pair of shoes and feel yourself a star!
This model of Adidas(R) shoes are oldest one, but the most sold. This model is an excellent combination of style and comfort. Besides the price quite accessible. I really recommend you to buy these shoes and I'm sure - you won't regret.",These are not just shoes...
5,I purchased this for my mother as a gift and she has been wearing them everyday. She uses them as house shoes and every time I show up at her house unannounced she has them on.,X-mas present
5,Fits as expected.  Comfortable feeling and seems like they will last a long while,Great value
5,"Love them. Second pair purchased. Owned first pair for 6 years for work and upper leather still looked new, but sole was pretty worn.",Love them
5,"Got these for my husband, who has a limited selection to choose from due to the narrowness of his feet.  We generally get athletic shoes for him, but he now has some difficulty with the laces, and these are a great solution.  He says they are very comfortable and easy to put on and take off...plus he has already gotten several compliments on them!","Great for large, narrow, feet!"
5,"This little watch does everything it claims to do.
Update: my battery died so I replaced it with a cr1216 battery. I have yet to encounter a problem with my watch. My only gripe is that it doesn't have a backlight to glow in the dark. Nevertheless, I still love my watch.",I love it
5,These perform like a champ from the first night!,12 hr ED Shifts
5,"Best looking, most versatile windbreaker ever.  My second one.  The first lasted many years.  Six more words required for this review.",Best value!
5,Son really loved!,Five Stars
5,Fits like a D width but accomodates a D + after some break in time,Five Stars
5,"This is my second pair of the exact same boot.  I actually went out and tried a couple other boots just for a change of pace, but came back to these as they are very comfortable and I wear them all day.",but came back to these as they are very comfortable and I wear them all day
5,"I purchased a pair of these in Florida around 5 years ago and they are finally getting fatigued to the point they are unsightly but still function just fine but my wife won't let me leave the house with them. I was excited to find these on Amazon as I have never worn a more comfortable and more durable sandal than what these are. Living in south Louisiana they have to deal with mud, rocks, sand, cement, asphalt, swamp, etc and when most rip and come apart these have just kept on chugging along. With definitely keep buying as longa s they are available.",... the point they are unsightly but still function just fine but my wife won't let me leave the house ...
5,"Globe Castro's are the most comfortable, nice looking men's shoes out there. These are the 6th pair I've purchased for family and they all love them.",Castro's are the best
5,Ray bands never fail to meet my standards. One of the best sunglasses company. It helps certain colors standout a lot easier for me to see.,Great Fit and price
5,"There is a break in period, but afterwards they are super comfortable.",but afterwards they are super comfortable.
5,very good....as expected,very good ....as expected
5,My daughter loves these shoes,Five Stars
5,Really like me the fit. Very true to size.,Fits great
5,Love the Minnetonka slippers.  I actually wore the last pair out and had to throw them out.  Keep my feet warm and comfy all winter!,Love the Minnetonka slippers
5,Love these pants. Can be used as dress pants or everyday pants.,Great
5,Great value and was a great gift.,Great price
5,"I have been wearing these for years..Great price..Sole kinda thin..That's ok..shoe shop can add thin rubber to  sole..They look great and comfortable..

Currently have 5 pair..not all same design..","Giorgio Brutini Men's 80575 Dress Boot,Black,9 M"
5,"I haven't had a chance to wear the item out into world yet but i have tried the item on inside the house. the heel is high but sexy, runs small, but comfort. I chosed the item because two common colors on one pair of shoes, can be match up with just about any outfit and the price was right, if you like to look good, and sexy this is definetly the shoes for you.",511 zoya
5,Very comfortable,Five Stars
5,I gave my girl friend the boots for ice fishing to keep her feet warm.you can be on the ice for hours and not get cold feet.,what great ice fishing boots
5,They are so comfortable. Best underware that I have had in many years.,Five Stars
5,"Birkenstock, always a perfect fit, soft and wonderful!
This is my treat to myself!","always a perfect fit, soft and wonderful"
5,Nice fit.,Five Stars
5,"4th pair of ECCO's About 6 years ago getting up and walking across showroom floor was difficult. Went to orthopedic surgeon  and he said surgery. Not so fast! Went to 2nd Ortho , he asked what do you do for a living, told him auto sales. Look at my shoes (Bally Loafers) Said the shoes you are wearing are like driving a car without shock absorbers. Said spend the money and get yourself a pair of ECCO's.

Fast forward and to this date not a  problem with knees since I started wearing them for work.",Look at my shoes (Bally Loafers) Said the shoes you are wearing are like driving a car without shock absorbers
5,Good cuality,Love it
5,Quality product.  Fits well and is comfortable.,Fits well and is comfortable.
5,I have difficulty finding attractive comfortable wide width shoes at a reasonable price....simply impossible to do in my rural area. These are absolutely the ticket in a feather weight for all day smart casual wear. Shipping (even with super saver)was rapid. Arrived in perfect condition. I should probably purchase another pair for future use when these eventually wear out. Now if I could only find them in brown...,Very Nice Deer Stag Loafers
5,"Ordered this through Amazon Prime, and it showed up two business days later -got to love that!
In any case, the sunglasses are great.  They come with a case, cleaning cloth, and a small blurb on how to care for your new shades.  Maybe this is all standard for sunglasses like this -but for someone who used to wear $10 sunglasses (they kept breaking!), I am was quite pleased with the quality of the case, and the sunglasses.
I got the 52mm ones.  I read some reviews that said the 52mm should only be bought for kids ... false.  I am 5'8"", 140lbs, and the 52mm's works perfect.  The 55mm's would work too, but I don't like the bigger lenses.  So unless you're a larger person, or have fuller face, or have very big cheeks, I think the 52mm will be nice on you.",Excellent Product
5,"Perfect comfort , love it!",Five Stars
5,Bought these for my daughter and she wears them all the time. The material that goes between the toes are cloth and very comfortable. Looks like they are going to last for a few summer.,Comfortable
5,"Love the design, quality and comfort.  Definitely will purchase KEEN shoes again.",Five Stars
5,Love the watches bought for me and my granddaughter,Five Stars
5,great product,Five Stars
5,Good quality. Price is correct.,Five Stars
5,"Outstanding.... Looks and feels great. I am alergic to most metals, but, I haven't had a rash under my watch since I have been wearing this titanium watch.

MD Best",Slimline Titanium Watch
5,They are great & my favorite - they are so comfortable,Most comfy
5,"Excellent watch and design. Top of the line for Bulova and a great value!  I own two Bulova's  from this Highbridge series, the stainless and the two tone, which unfortunately is no longer manufactured.  Thank you Amazon.com.",Bulova Men' 96E08
5,Just what she asked for!,Five Stars
5,"I have these in all six available colors: how do YOU think I like them? Seriously, the older (pushing 70) I get, the more pockets I need! Pair these with a great 4-pocket fishing shirt and I have all my needs covered with pockets to spare! Only problem is, when I step on the scale at the doctor's, I'm nearly 10 lbs. heavier than I was when I stepped out of the shower! Nine pockets plus a hammer loop and double knees, ripstop fabric and that adult loose fit that screams comfort. Can't wait until spring, when I can wear the Ranger shorts!","POCKETS, POCKETS, POCKETS!"
5,Fits my medium regular m-65 as expected. EXTREMELY SATISFIED!,YAYYY ROTHCO!
5,"As always, Sperry is a great show that fits consistently, looks great, and lasts.",Best you can get
5,"I got this in brown.  It was a shade lighter than a hershey bar.  It is thick and warm, my stepdad loves it for working in the barn.",$25 Steal!
5,I'm a true 6 but with these I had to go with a 6.5. Amazon sent me the other pair before I had to send the 6s back so that's always convenient. Love the style and not having to tie annoying Sperry shoelaces all the time is awesome.,Love the style and not having to tie annoying Sperry ...
5,"I love this watch, I have worn it everyday since I got it. Love the colors even though they are starting to fade on the sides I don't care I love it. This is like my 4th Timex watch and have loved everyone of them. Would recommend.",I love this watch
5,Amazingly good quality.  This is the best child's costume I've ever bought.  My grandson LOVES it and had me take him to the fire station to get a photo of him in it!  If your kid or grandson or whoever is into playing a fireman... buy it.  You will not be disappointed.,Best costume for a kid I've ever bought . The quality is top notch.
5,"So far these have lived up to the hype. I've only worn them a couple times. They're comfortable and fit well. Invisible under clothes. I was concerned about the hand wash instructions because, let's face it, who wants to hand wash their underwear? So far, they've held up well in the in a garment bag on hand wash cycle in my machine. Then I lay flat to dry.","Pricey, but worth it"
5,I can wear them all day and night. No problem!,Five Stars
5,Perfect,Five Stars
5,Good quality and fit true to size. Shipped and arrived in a timely fashion. Thanks,Five Stars
5,"Bought for my elderly father that is having some mobility issues. He loves them.  Not only easy for him to slip on and go, he says they are so comfortable.  No break in time!  I love the look.  Much nicer in person.  Exactly what I was looking for! Substantial traction, easy to put on, comfortable and great looking!  Exactly what I have been searching for!",Perfect
5,As I mentioned in my other review of the same pants (different color) They are very durable and in my opinion worth the $$.,Best work pants around
5,Typical Dickies. Reliable brand,Good
5,"These have been great.  They are a little stiff but I expected that due to the tough shell of Carhartt.  These are extremely warm, love them so far.",These have been great. They are a little stiff but I expected ...
5,Love these shoes. So does my podiatrist! This is the 4th pair I've bought and plan to get more.,Five Stars
5,Had to get blue!,Told you I needed blue pair
5,Fit over my shoes easily. Stay on well. Very heavily constructed. Nice and tall. Very satisfied I purchased these.,Excellent product!
5,"I bought these shoes to wear to train in martial arts. My shoe size is 7.5. When I first tried the shoes I was somewhat concerned that the shoes were a bit too big but that was because I was not wearing socks. After training for 2 hours in them with a slightly thicker socks (bc even thin socks still felt like the shoes were a little lose), my feet felt great. I didn't suffer from any blisters. The shoes really griped the floor and my performance was great.",Cool and comfortable shoes
5,"Excellent price for a tough work watch. Keeps good time, easy to read.",Great work watch.
5,"great design
fits under the helmet better due to thin material on top",great
5,This is my 3rd pair of the Carly sandals which I have bought over the past 5 years (in 2 different colors).  They are very comfortable and go with almost any of the outfits which I wear.  The service was excellent...very quick and great price.  I could not find these shoes in a store.,love these sandals
5,Just as promised.,Good value
5,These bras are great but you have to break them in before they become really comfortable,Five Stars
5,"So nice I wear a men's 11.5 and the women's 14 fit perfectly!
The gold is fun for parties -",So nice I wear a men's 11
5,"Bought for teen son, loves it. Not to flashy, yet classy all the same.",Five Stars
5,great quality product,Five Stars
5,"This is my third pair of these flip flops.  The first ones got worn down after wearing them a year or two and became very slippery on the soles.  The second ones I got in black, and third in brown.  I can wear them all day and my feet don't hurt.  I wear 8.5 and I get the 8.  I'm not one to spend a lot of money on flip flops, but these are worth it.  (Put them on your wish list, and Amazon will let you know when there is a sale.  I got the brown ones for half price.)

I do not wear these if it is going to rain, as the yoga mat part soaks up water like a sponge.",Most comfy flip flops ever!
5,Great jeans! I've worn them for a long time.,Five Stars
5,Great socks. Superb padding. Strong & high quality.,Five Stars
5,Perfect ofr her dance recital.  Fit foot an ankle without sagging.  Love them. Will purchase again.,Five Stars
5,Ordered the size my husbie usually wears and they were too small.  I ordered the next size up and it was a just fit.  I recommend ordering the size larger unless you like a tighter fit.,I recommend ordering the size larger unless you like a tighter ...
5,Im a clog nut so ordered myself one of these..was very glad i did..OH so comfy and i adore the color...try one you'll like it,clog
5,"Arrived a day early, great shoe all around. Runs a little larger at least for myself anyway.",great shoe all around
5,Nice wow alot of pockets,Five Stars
5,Awesome,Awesome
5,"I bought these sandals over a year ago before I moved overseas to West Africa.  Living in a warm/hot climate, I wanted some good supportive sandal for everyday living that also looked cute/stylish.  While I love the look of these shoes I found one very frustrating thing about them-sand would constantly get in them and it was hard to get it out.  It was just annoying so I didn't wear them too often.  Then I got pregnant, and I grew and grew...  Now these sandals are the only ones that give me the support that I need.  So I wear them every day!  Thank you Birkenstock for creating a supportive sandal!!","Sand gets in easily, but the sandal has great support!"
5,Bought this to be Mario for Halloween. Fits great on your head but has that oversized look that suits the Mario character!,Fits great on your head but has that oversized look that ...
5,good shoes,Five Stars
5,Very comfortable and long lasting.,The Lamborghini of tennis socks
5,"The birkenstock shoes are great for someone with foot problems.  I have arthritis in the toes, as well as plantar fasciitis.  With birkenstocks, the pain is literally non existent.  Can't say enough good about them. They are not compatible with icy streets however.  Wish the bottoms were more gripping to prevent extreme slipping on icy surfaces.  I previously owned a pair of birkenstock sandals, which I wore for 15 - 20 years.  Needless to say, they are a very durable shoe.  I'm in the process of ordering another sandal.",Love the birkenstock clogs
5,"I spend most of the workday on my feet, these are extremely comfortable shoes.",Extremely comfortable
5,"great, wish i could find 72"" as well!",Five Stars
5,"Just as described and pictured, lovely and practical, if you love all things celtic, and or pewter, then you will love this bracelet!",Excellent
5,We had a sp party for our 9 yr old son and we bought these to go in his spy kit. They are wonderfully fun! All the kids and even the adults had fun playing with them!,LOVE THESE!
5,Good item.,Five Stars
5,Gracias,Five Stars
5,It's exellent option for protect our childrens.,Five Stars
5,"I've ordered Rago's Women's High-Waisted Long Leg Shaper before, so I know how its sizing works. Rago's sizing is closer to vintage sizing. You can't order your normal dress size in Rago. The company doesn't vanity size like most modern women's clothing companies. You must order this shapewear based on your hip size, which is what I did. That means I ordered two sizes larger than my dress size. Once on, the shaper feels very firm and smooths me out under my dresses and skirts. Despite the compression, I find it very comfortable  to wear. Major tip: the hosiery clasps are detachable.",A Vintage Style Product Making Modern Figures Look Great as Long as You Don't Mind Sizing Up
5,Great,Five Stars
5,Very pretty and fits well. I like it.,Five Stars
5,It fits perfectly and it has Velcro closure!,great shoe
5,Great shoe that I purchased for a great price.  Very comfortable and fit as expected.,Five Stars
5,As always fits perfect,Five Stars
5,"These are great fitting panties.  Fit as expected with no binding, pulling, or lines that show through clothing.  If you are looking for full coverage and comfort you should try these!",Brief Style Panties That Fit Great
5,"Size E (WW) fits like a comfy slipper, really soft with great cushion and support.",Like a comfy slipper
5,"Very happy with my purchase ,everything about these boots are wonderful. I will be buying more when these wear out but I'm sure that may take awhile.",great but
5,Love these shoes. Whether your in town or out in the trails. This shoe is fashionable and functional. Fantastic product.,Love these shoes
5,"What can I say, The boots fit good and the quality was good. I would recommend these boots for whatever you have intended for them.",Good quality
5,Just wanted to say that the star is supposed to be on the inside,Five Stars
5,As usual this Reef sandal high quality and perfect fit.,Great price
5,Fits perfect!!  these!! By far the most comfortable pair of flip flops Ive ever had. Will definitely order again!!,Lovvveeee!
5,"Descent quality. Fit was good for a 7 year old
My done enjoys the heck out of this.  We purchased the gloves and face shield also. All were of good quality",Fit was good for a 7 year old My done enjoys the ...
5,"I ordered the same size I ware in Levi's and the fit was perfect. Great quality and very warm, I will by more as Amazon has the best price.",warm jeans with a great fit
5,My son loved this costume and received tons of compliments from actual fire fighters. The quality is perfect and washes well. Money well spent,best purcahse ever!
5,Bali is the best! I mistakenly thought I would try other brands. Bad idea. This bra fits comfortably and gives good support.,Fits the cup and fits around!
5,Awesome watch. If you have large wrists or hairy arms this watch is not for you. I have small wrists and pretty much hairless arms but I had to shave a part of my wrist so the hair wouldn't be pulled out.,classy yet durable
5,These pants are by far the most comfortable fit I have had. I really like them,Excellent wuality
5,A real nice sweater,Maritime Sweater
5,Best shoe ever!,Five Stars
5,Great costume!,Five Stars
5,Good soccer shoes,Good shoes
5,Just what I needed.,Five Stars
5,"Bought these for my work as a Electrical apprentice.
They fit well and am wearing them now, still getting them broke in.
Able to stand, kneel, and crawl with no problems.",Sweet boots.
5,its summer here rn but it don't matter bc i just need this get some dough real quick if you know what im saying (;,its summer here rn but it don't matter bc i ...
5,Amazing watch. I never use the calculator but it does work.,Bang for your buck!
5,These are so adorable and a great price! I will order the next size up soon. Thanks for all of your great deals!,WOW WONDERFUL PRICE AND QUALITY
5,"This cart is light yet durable and folds down flat and compact and easily fits into carry on. I use it to haul medical equipment into a baseball park and it negotiates bumps and potholes without a problem. Definately worth the price, especially if you need the convenience of compact.",Great little luggage cart
5,Love,Five Stars
5,Perfect and Good business!,Five Stars
5,Cathartt run a little big and they don't shrink much. I always order a medium for my 18 year old son and they fit perfectly,Cathartt run a little big and they don't shrink much ...
5,Terrific deal - I live these.,Great value - looks like built to last
5,These boots are very comfortable. I love mine. Had them about a month and sad I have to put them up soon for summer.,Five Stars
5,"Good Sun Visor Hat, does what it's supposed to do.",Good Sun Visor
5,Great product. Well made,Five Stars
5,Love the quality of this purse. Lasts for ever and my friends and family share my view.,Five Stars
5,What a good-looking timepiece. I gave it to my husband for his birthday and he loved it.,He loved my gift!
5,"Got in today, look great without scratches and in plastic. Will update if there are issues",Ray-Ban P RB3025
5,"Great slippers, would highly recommend!",Five Stars
5,always good stuff my boyfriend only wants Carhartt.,as expected
5,good,Five Stars
5,"if you love chucks, you'll love these. A must buy",Classic and beautiful
5,Ultra lightweight; relatively easy to set and not too hard to shorten the wristband. Especially like the dual time zone setting which I used on a road trip to Albuquerque. And the price is not a budget buster. Would highly recommend.,relatively easy to set and not too hard to shorten the ...
5,Great time piece.,Five Stars
5,"My first pair finally wore out.  These, my second pair,  are exactly as great as the first!  I expected nothing less from Birkenstock,",Naturally
